Country,Date,Total Cases,Total Deaths,Population,New Cases,New Deaths,%Cases,%Deaths,log(Total Cases),log(Total Deaths),log(New Cases),log(New Deaths)
United States,2020-01-22,1,0,328239523,0,0,0.0,0.0,0.0,-inf,-inf,-inf
United States,2020-01-23,1,0,328239523,0,0,0.0,0.0,0.0,-inf,-inf,-inf
United States,2020-01-24,2,0,328239523,1,0,0.0,0.0,0.693,-inf,0.0,-inf
United States,2020-01-25,2,0,328239523,0,0,0.0,0.0,0.693,-inf,-inf,-inf
United States,2020-01-26,5,0,328239523,3,0,0.0,0.0,1.609,-inf,1.099,-inf
United States,2020-01-27,6,0,328239523,1,0,0.0,0.0,1.792,-inf,0.0,-inf
United States,2020-01-28,6,0,328239523,0,0,0.0,0.0,1.792,-inf,-inf,-inf
United States,2020-01-29,7,0,328239523,1,0,0.0,0.0,1.946,-inf,0.0,-inf
United States,2020-01-30,7,0,328239523,0,0,0.0,0.0,1.946,-inf,-inf,-inf
United States,2020-01-31,8,0,328239523,1,0,0.0,0.0,2.079,-inf,0.0,-inf
United States,2020-02-01,9,0,328239523,1,0,0.0,0.0,2.197,-inf,0.0,-inf
United States,2020-02-02,9,0,328239523,0,0,0.0,0.0,2.197,-inf,-inf,-inf
United States,2020-02-03,11,0,328239523,2,0,0.0,0.0,2.398,-inf,0.693,-inf
United States,2020-02-04,11,0,328239523,0,0,0.0,0.0,2.398,-inf,-inf,-inf
United States,2020-02-05,11,0,328239523,0,0,0.0,0.0,2.398,-inf,-inf,-inf
United States,2020-02-06,11,1,328239523,0,1,0.0,0.0,2.398,0.0,-inf,0.0
United States,2020-02-07,11,1,328239523,0,0,0.0,0.0,2.398,0.0,-inf,-inf
United States,2020-02-08,11,1,328239523,0,0,0.0,0.0,2.398,0.0,-inf,-inf
United States,2020-02-09,11,1,328239523,0,0,0.0,0.0,2.398,0.0,-inf,-inf
United States,2020-02-10,11,1,328239523,0,0,0.0,0.0,2.398,0.0,-inf,-inf
United States,2020-02-11,12,1,328239523,1,0,0.0,0.0,2.485,0.0,0.0,-inf
United States,2020-02-12,12,1,328239523,0,0,0.0,0.0,2.485,0.0,-inf,-inf
United States,2020-02-13,13,1,328239523,1,0,0.0,0.0,2.565,0.0,0.0,-inf
United States,2020-02-14,13,1,328239523,0,0,0.0,0.0,2.565,0.0,-inf,-inf
United States,2020-02-15,13,1,328239523,0,0,0.0,0.0,2.565,0.0,-inf,-inf
United States,2020-02-16,13,1,328239523,0,0,0.0,0.0,2.565,0.0,-inf,-inf
United States,2020-02-17,13,2,328239523,0,1,0.0,0.0,2.565,0.693,-inf,0.0
United States,2020-02-18,14,2,328239523,1,0,0.0,0.0,2.639,0.693,0.0,-inf
United States,2020-02-19,14,2,328239523,0,0,0.0,0.0,2.639,0.693,-inf,-inf
United States,2020-02-20,14,2,328239523,0,0,0.0,0.0,2.639,0.693,-inf,-inf
United States,2020-02-21,17,2,328239523,3,0,0.0,0.0,2.833,0.693,1.099,-inf
United States,2020-02-22,17,2,328239523,0,0,0.0,0.0,2.833,0.693,-inf,-inf
United States,2020-02-23,17,2,328239523,0,0,0.0,0.0,2.833,0.693,-inf,-inf
United States,2020-02-24,18,2,328239523,1,0,0.0,0.0,2.89,0.693,0.0,-inf
United States,2020-02-25,18,2,328239523,0,0,0.0,0.0,2.89,0.693,-inf,-inf
United States,2020-02-26,20,2,328239523,2,0,0.0,0.0,2.996,0.693,0.693,-inf
United States,2020-02-27,21,2,328239523,1,0,0.0,0.0,3.045,0.693,0.0,-inf
United States,2020-02-28,23,2,328239523,2,0,0.0,0.0,3.135,0.693,0.693,-inf
United States,2020-02-29,34,3,328239523,11,1,0.0,0.0,3.526,1.099,2.398,0.0
United States,2020-03-01,40,3,328239523,6,0,0.0,0.0,3.689,1.099,1.792,-inf
United States,2020-03-02,62,8,328239523,22,5,0.0,0.0,4.127,2.079,3.091,1.609
United States,2020-03-03,81,9,328239523,19,1,0.0,0.0,4.394,2.197,2.944,0.0
United States,2020-03-04,116,13,328239523,35,4,0.0,0.0,4.754,2.565,3.555,1.386
United States,2020-03-05,182,14,328239523,66,1,0.0,0.0,5.204,2.639,4.19,0.0
United States,2020-03-06,231,19,328239523,49,5,0.0,0.0,5.442,2.944,3.892,1.609
United States,2020-03-07,355,22,328239523,124,3,0.0,0.0,5.872,3.091,4.82,1.099
United States,2020-03-08,471,25,328239523,116,3,0.0,0.0,6.155,3.219,4.754,1.099
United States,2020-03-09,730,31,328239523,259,6,0.0,0.0,6.593,3.434,5.557,1.792
United States,2020-03-10,1015,34,328239523,285,3,0.0,0.0,6.923,3.526,5.652,1.099
United States,2020-03-11,1297,40,328239523,282,6,0.0,0.0,7.168,3.689,5.642,1.792
United States,2020-03-12,1694,44,328239523,397,4,0.001,0.0,7.435,3.784,5.984,1.386
United States,2020-03-13,2244,51,328239523,550,7,0.001,0.0,7.716,3.932,6.31,1.946
United States,2020-03-14,2947,60,328239523,703,9,0.001,0.0,7.989,4.094,6.555,2.197
United States,2020-03-15,3659,67,328239523,712,7,0.001,0.0,8.205,4.205,6.568,1.946
United States,2020-03-16,4591,92,328239523,932,25,0.001,0.0,8.432,4.522,6.837,3.219
United States,2020-03-17,6281,105,328239523,1690,13,0.002,0.0,8.745,4.654,7.432,2.565
United States,2020-03-18,9192,143,328239523,2911,38,0.003,0.0,9.126,4.963,7.976,3.638
United States,2020-03-19,14211,184,328239523,5019,41,0.004,0.0,9.562,5.215,8.521,3.714
United States,2020-03-20,19127,225,328239523,4916,41,0.006,0.0,9.859,5.416,8.5,3.714
United States,2020-03-21,26442,281,328239523,7315,56,0.008,0.0,10.183,5.638,8.898,4.025
United States,2020-03-22,33729,422,328239523,7287,141,0.01,0.0,10.426,6.045,8.894,4.949
United States,2020-03-23,43842,550,328239523,10113,128,0.013,0.0,10.688,6.31,9.222,4.852
United States,2020-03-24,53860,740,328239523,10018,190,0.016,0.0,10.894,6.607,9.212,5.247
United States,2020-03-25,68530,1016,328239523,14670,276,0.021,0.0,11.135,6.924,9.594,5.62
United States,2020-03-26,85018,1279,328239523,16488,263,0.026,0.0,11.351,7.154,9.71,5.572
United States,2020-03-27,102538,1634,328239523,17520,355,0.031,0.0,11.538,7.399,9.771,5.872
United States,2020-03-28,122931,2128,328239523,20393,494,0.037,0.001,11.719,7.663,9.923,6.203
United States,2020-03-29,141699,2485,328239523,18768,357,0.043,0.001,11.861,7.818,9.84,5.878
United States,2020-03-30,163589,3044,328239523,21890,559,0.05,0.001,12.005,8.021,9.994,6.326
United States,2020-03-31,186694,3891,328239523,23105,847,0.057,0.001,12.137,8.266,10.048,6.742
